sampleID	tree	sex	period	type	sexByName	typeByName	periodSex	periodSexByName
F361P1ML	F361	F	S1	L	Female	Leaf	S1F	S1 Female
F361P2ML	F361	F	S2	L	Female	Leaf	S2F	S2 Female
F361P3ML	F361	F	S3	L	Female	Leaf	S3F	S3 Female
F367P1ML	F367	F	S1	L	Female	Leaf	S1F	S1 Female
F367P2ML	F367	F	S2	L	Female	Leaf	S2F	S2 Female
F367P3ML	F367	F	S3	L	Female	Leaf	S3F	S3 Female
F368P1ML	F368	F	S1	L	Female	Leaf	S1F	S1 Female
F368P2ML	F368	F	S2	L	Female	Leaf	S2F	S2 Female
F368P3ML	F368	F	S3	L	Female	Leaf	S3F	S3 Female
F396P1ML	F396	F	S1	L	Female	Leaf	S1F	S1 Female
F396P2ML	F396	F	S2	L	Female	Leaf	S2F	S2 Female
F396P3ML	F396	F	S3	L	Female	Leaf	S3F	S3 Female
F397P1ML	F397	F	S1	L	Female	Leaf	S1F	S1 Female
F397P2ML	F397	F	S2	L	Female	Leaf	S2F	S2 Female
F397P3ML	F397	F	S3	L	Female	Leaf	S3F	S3 Female
F398P1ML	F398	F	S1	L	Female	Leaf	S1F	S1 Female
F398P2ML	F398	F	S2	L	Female	Leaf	S2F	S2 Female
F398P3ML	F398	F	S3	L	Female	Leaf	S3F	S3 Female
F405P1ML	F405	F	S1	L	Female	Leaf	S1F	S1 Female
F405P2ML	F405	F	S2	L	Female	Leaf	S2F	S2 Female
F405P3ML	F405	F	S3	L	Female	Leaf	S3F	S3 Female
F406P1ML	F406	F	S1	L	Female	Leaf	S1F	S1 Female
F406P2ML	F406	F	S2	L	Female	Leaf	S2F	S2 Female
F406P3ML	F406	F	S3	L	Female	Leaf	S3F	S3 Female
F416P1ML	F416	F	S1	L	Female	Leaf	S1F	S1 Female
F416P2ML	F416	F	S2	L	Female	Leaf	S2F	S2 Female
F416P3ML	F416	F	S3	L	Female	Leaf	S3F	S3 Female
F427P1ML	F427	F	S1	L	Female	Leaf	S1F	S1 Female
F427P2ML	F427	F	S2	L	Female	Leaf	S2F	S2 Female
F427P3ML	F427	F	S3	L	Female	Leaf	S3F	S3 Female
M354P1ML	M354	M	S1	L	Male	Leaf	S1M	S1 Male
M354P2ML	M354	M	S2	L	Male	Leaf	S2M	S2 Male
M354P3ML	M354	M	S3	L	Male	Leaf	S3M	S3 Male
M365P1ML	M365	M	S1	L	Male	Leaf	S1M	S1 Male
M365P2ML	M365	M	S2	L	Male	Leaf	S2M	S2 Male
M365P3ML	M365	M	S3	L	Male	Leaf	S3M	S3 Male
M373P1ML	M373	M	S1	L	Male	Leaf	S1M	S1 Male
M373P2ML	M373	M	S2	L	Male	Leaf	S2M	S2 Male
M373P3ML	M373	M	S3	L	Male	Leaf	S3M	S3 Male
M376P1ML	M376	M	S1	L	Male	Leaf	S1M	S1 Male
M376P2ML	M376	M	S2	L	Male	Leaf	S2M	S2 Male
M376P3ML	M376	M	S3	L	Male	Leaf	S3M	S3 Male
M377P1ML	M377	M	S1	L	Male	Leaf	S1M	S1 Male
M377P2ML	M377	M	S2	L	Male	Leaf	S2M	S2 Male
M377P3ML	M377	M	S3	L	Male	Leaf	S3M	S3 Male
M395P1ML	M395	M	S1	L	Male	Leaf	S1M	S1 Male
M395P2ML	M395	M	S2	L	Male	Leaf	S2M	S2 Male
M395P3ML	M395	M	S3	L	Male	Leaf	S3M	S3 Male
M402P1ML	M402	M	S1	L	Male	Leaf	S1M	S1 Male
M402P2ML	M402	M	S2	L	Male	Leaf	S2M	S2 Male
M402P3ML	M402	M	S3	L	Male	Leaf	S3M	S3 Male
M415P1ML	M415	M	S1	L	Male	Leaf	S1M	S1 Male
M415P2ML	M415	M	S2	L	Male	Leaf	S2M	S2 Male
M415P3ML	M415	M	S3	L	Male	Leaf	S3M	S3 Male
M422P1ML	M422	M	S1	L	Male	Leaf	S1M	S1 Male
M422P2ML	M422	M	S2	L	Male	Leaf	S2M	S2 Male
M422P3ML	M422	M	S3	L	Male	Leaf	S3M	S3 Male
M428P1ML	M428	M	S1	L	Male	Leaf	S1M	S1 Male
M428P2ML	M428	M	S2	L	Male	Leaf	S2M	S2 Male
M428P3ML	M428	M	S3	L	Male	Leaf	S3M	S3 Male
F361P1MS	F361	F	S1	S	Female	Rhizosphere soil	S1F	S1 Female
F361P2MS	F361	F	S2	S	Female	Rhizosphere soil	S2F	S2 Female
