date	tree	id	sample	length	diameter	fw	dw
20230428	ZJG000351	1	ZJG000351-P1-1	5.23	6.39	0.1111	0.0171
20230428	ZJG000351	2	ZJG000351-P1-2	6.26	7.39	0.1832	0.0285
20230428	ZJG000351	3	ZJG000351-P1-3	5.23	6.12	0.1091	0.0185
20230428	ZJG000366	1	ZJG000366-P1-1	5.71	7.73	0.1997	0.0358
20230428	ZJG000366	2	ZJG000366-P1-2	5.01	7.72	0.1773	0.0367
20230428	ZJG000366	3	ZJG000366-P1-3	5.35	7.55	0.1738	0.0375
20230428	ZJG000370	1	ZJG000370-P1-1	7.51	8.46	0.3162	0.0487
20230428	ZJG000370	2	ZJG000370-P1-2	7.27	7.88	0.2511	0.0392
20230428	ZJG000370	3	ZJG000370-P1-3	8.68	9.73	0.4858	0.0717
20230428	ZJG000420	1	ZJG000420-P1-1	6.62	6.56	0.1479	0.0259
20230428	ZJG000420	2	ZJG000420-P1-2	7.64	8.51	0.2767	0.0449
20230428	ZJG000420	3	ZJG000420-P1-3	7.36	7.83	0.2406	0.0392
20230428	ZJG000433	1	ZJG000433-P1-1	6.25	7.39	0.1904	0.0284
20230428	ZJG000433	2	ZJG000433-P1-2	5.79	6.44	0.1309	0.0207
20230428	ZJG000433	3	ZJG000433-P1-3	5.84	6.71	0.1449	0.0217
20230512	ZJG000351	1	ZJG000351-P2-1	9.61	10.72	0.6336	0.0991
20230512	ZJG000351	2	ZJG000351-P2-2	9.68	10.34	0.5823	0.0925
20230512	ZJG000351	3	ZJG000351-P2-3	10.05	10.78	0.6371	0.1011
20230512	ZJG000351	4	ZJG000351-P2-4	10.07	10.95	0.6803	0.1092
20230512	ZJG000370	1	ZJG000370-P2-1	14.06	13.34	1.5782	0.2332
20230512	ZJG000370	2	ZJG000370-P2-2	15.79	14.46	1.9503	0.2873
20230512	ZJG000370	3	ZJG000370-P2-3	15.72	14.18	1.8563	0.2801
20230512	ZJG000366	1	ZJG000366-P2-1	8.91	11.85	0.6416	0.1471
20230512	ZJG000366	2	ZJG000366-P2-2	8.76	11.73	0.6547	0.1488
20230512	ZJG000366	3	ZJG000366-P2-3	9.72	12.61	0.8162	0.1877
20230512	ZJG000433	1	ZJG000433-P2-1	11.69	11.74	0.8882	0.1483
20230512	ZJG000433	2	ZJG000433-P2-2	11.54	11.79	0.9115	0.1543
20230512	ZJG000433	3	ZJG000433-P2-3	11.85	11.52	0.8831	0.1481
20230512	ZJG000433	4	ZJG000433-P2-4	12.45	11.46	0.8953	0.1488
20230512	ZJG000433	5	ZJG000433-P2-5	11.95	10.48	0.7231	0.1173
20230512	ZJG000420	1	ZJG000420-P2-1	11.78	10.99	0.8421	0.1659
20230512	ZJG000420	2	ZJG000420-P2-2	11.64	10.95	0.8068	0.1556
20230512	ZJG000420	3	ZJG000420-P2-3	12.25	11.31	0.9063	0.1747
20230512	ZJG000420	4	ZJG000420-P2-4	12.23	10.63	0.7971	0.1501
20230519	ZJG000370	1	ZJG000370-P3-1	22.20 	17.19	3.6783	0.4853
20230519	ZJG000370	2	ZJG000370-P3-2	20.29	16.25	3.2115	0.4313
20230519	ZJG000370	3	ZJG000370-P3-3	20.57	16.64	3.3347	0.4643
20230519	ZJG000370	4	ZJG000370-P3-4	17.64	15.87	2.5254	0.3384
20230519	ZJG000420	1	ZJG000420-P3-1	15.46	12.79	1.3872	0.2399
20230519	ZJG000420	2	ZJG000420-P3-2	14.38	12.74	1.3476	0.2448
20230519	ZJG000420	3	ZJG000420-P3-3	14.15	13.51	1.4407	0.2901
20230519	ZJG000420	4	ZJG000420-P3-4	13.94	12.58	1.3016	0.2561
20230519	ZJG000351	1	ZJG000351-P3-1	13.71	13.91	1.5433	0.2591
20230519	ZJG000351	2	ZJG000351-P3-2	13.35	14.54	1.6001	0.2824
20230519	ZJG000351	3	ZJG000351-P3-3	12.61	14.17	1.4351	0.2596
20230519	ZJG000366	1	ZJG000366-P3-1	13.93	13.78	1.9008	0.2928
20230519	ZJG000366	2	ZJG000366-P3-2	13.59	13.99	2.0746	0.3093
20230519	ZJG000366	3	ZJG000366-P3-3	15.67	14.66	2.4415	0.3504
20230519	ZJG000433	1	ZJG000433-P3-1	15.64	13.69	1.6184	0.2485
20230519	ZJG000433	2	ZJG000433-P3-2	15.08	13.72	1.5932	0.2439
20230519	ZJG000433	3	ZJG000433-P3-3	14.21	11.47	1.0002	0.1609
20230526	ZJG000433	1	ZJG000433-P4-1	18.63	15.71	2.5254	0.3875
20230526	ZJG000433	2	ZJG000433-P4-2	18.27	14.71	2.1917	0.3471
20230526	ZJG000433	3	ZJG000433-P4-3	18.07	14.82	2.1566	0.3369
20230526	ZJG000433	4	ZJG000433-P4-4	17.01	16.07	2.5634	0.4269
