OTU_id	bin.id.new	bin_id	OTU_id.1	domain	phylum	class	order	family	genus	species
OTU1423	OTU1423	4	bin4	OTU1423	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Polymorphospora	NA
OTU110	OTU110	4	bin4	OTU110	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	NA	NA
OTU1998	OTU1998	4	bin4	OTU1998	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Longispora	NA
OTU684	OTU684	4	bin4	OTU684	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU297	OTU297	4	bin4	OTU297	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU2277	OTU2277	4	bin4	OTU2277	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Spirillospora	NA
OTU1660	OTU1660	4	bin4	OTU1660	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Planomonospora	NA
OTU2510	OTU2510	4	bin4	OTU2510	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinocorallia	NA
OTU1240	OTU1240	4	bin4	OTU1240	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Thermopolyspora	NA
OTU515	OTU515	4	bin4	OTU515	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Microtetraspora	NA
OTU1026	OTU1026	4	bin4	OTU1026	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Nonomuraea	NA
OTU573	OTU573	4	bin4	OTU573	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	NA	NA
OTU1268	OTU1268	4	bin4	OTU1268	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
OTU1668	OTU1668	4	bin4	OTU1668	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU1132	OTU1132	4	bin4	OTU1132	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU1359	OTU1359	4	bin4	OTU1359	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU1284	OTU1284	4	bin4	OTU1284	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU2504	OTU2504	4	bin4	OTU2504	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	Promicromonospora	NA
OTU471	OTU471	4	bin4	OTU471	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leifsonia	NA
OTU706	OTU706	4	bin4	OTU706	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	NA	NA
OTU2377	OTU2377	4	bin4	OTU2377	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	NA
OTU1961	OTU1961	4	bin4	OTU1961	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Microlunatus	NA
OTU327	OTU327	4	bin4	OTU327	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
OTU2636	OTU2636	4	bin4	OTU2636	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU670	OTU670	5	bin5	OTU670	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU1878	OTU1878	5	bin5	OTU1878	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	NA
OTU772	OTU772	5	bin5	OTU772	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	NA
OTU1197	OTU1197	5	bin5	OTU1197	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU222	OTU222	5	bin5	OTU222	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU861	OTU861	5	bin5	OTU861	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	NA
OTU223	OTU223	5	bin5	OTU223	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	NA
OTU1783	OTU1783	5	bin5	OTU1783	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	NA
OTU2061	OTU2061	5	bin5	OTU2061	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	NA
OTU1702	OTU1702	5	bin5	OTU1702	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU1907	OTU1907	5	bin5	OTU1907	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	NA	NA
OTU2009	OTU2009	5	bin5	OTU2009	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU2232	OTU2232	5	bin5	OTU2232	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1938	OTU1938	5	bin5	OTU1938	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1789	OTU1789	5	bin5	OTU1789	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1915	OTU1915	5	bin5	OTU1915	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	NA	NA
OTU2189	OTU2189	5	bin5	OTU2189	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	NA	NA
OTU1086	OTU1086	5	bin5	OTU1086	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU2938	OTU2938	5	bin5	OTU2938	Bacteria	NA	NA	NA	NA	NA	NA
OTU1933	OTU1933	5	bin5	OTU1933	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1677	OTU1677	5	bin5	OTU1677	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU1107	OTU1107	5	bin5	OTU1107	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU2256	OTU2256	5	bin5	OTU2256	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1861	OTU1861	5	bin5	OTU1861	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU2132	OTU2132	5	bin5	OTU2132	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU2087	OTU2087	5	bin5	OTU2087	Bacteria	NA	NA	NA	NA	NA	NA
OTU2044	OTU2044	5	bin5	OTU2044	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1116	OTU1116	5	bin5	OTU1116	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU2440	OTU2440	5	bin5	OTU2440	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1884	OTU1884	5	bin5	OTU1884	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1860	OTU1860	5	bin5	OTU1860	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU2024	OTU2024	5	bin5	OTU2024	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1534	OTU1534	5	bin5	OTU1534	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1897	OTU1897	5	bin5	OTU1897	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU687	OTU687	5	bin5	OTU687	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU1772	OTU1772	5	bin5	OTU1772	Bacteria	NA	NA	NA	NA	NA	NA
OTU1814	OTU1814	5	bin5	OTU1814	Bacteria	NA	NA	NA	NA	NA	NA
OTU169	OTU169	5	bin5	OTU169	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU3046	OTU3046	5	bin5	OTU3046	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU1954	OTU1954	5	bin5	OTU1954	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU164	OTU164	5	bin5	OTU164	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU472	OTU472	5	bin5	OTU472	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	NA
OTU924	OTU924	5	bin5	OTU924	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	NA
OTU952	OTU952	5	bin5	OTU952	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU1584	OTU1584	5	bin5	OTU1584	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU885	OTU885	5	bin5	OTU885	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU1496	OTU1496	5	bin5	OTU1496	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU1465	OTU1465	5	bin5	OTU1465	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU2152	OTU2152	5	bin5	OTU2152	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	NA	NA
OTU293	OTU293	5	bin5	OTU293	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU1500	OTU1500	5	bin5	OTU1500	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU802	OTU802	5	bin5	OTU802	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU600	OTU600	5	bin5	OTU600	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU2821	OTU2821	6	bin6	OTU2821	Bacteria	NA	NA	NA	NA	NA	NA
OTU2927	OTU2927	6	bin6	OTU2927	Bacteria	NA	NA	NA	NA	NA	NA
OTU3059	OTU3059	6	bin6	OTU3059	Bacteria	NA	NA	NA	NA	NA	NA
OTU2688	OTU2688	6	bin6	OTU2688	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
OTU1922	OTU1922	6	bin6	OTU1922	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	NA
OTU2402	OTU2402	6	bin6	OTU2402	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	NA
OTU2674	OTU2674	6	bin6	OTU2674	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
OTU2762	OTU2762	6	bin6	OTU2762	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
OTU2828	OTU2828	6	bin6	OTU2828	Bacteria	NA	NA	NA	NA	NA	NA
OTU3028	OTU3028	6	bin6	OTU3028	Bacteria	NA	NA	NA	NA	NA	NA
OTU1044	OTU1044	6	bin6	OTU1044	Bacteria	NA	NA	NA	NA	NA	NA
OTU2797	OTU2797	6	bin6	OTU2797	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU2624	OTU2624	6	bin6	OTU2624	Bacteria	NA	NA	NA	NA	NA	NA
OTU2740	OTU2740	6	bin6	OTU2740	Bacteria	NA	NA	NA	NA	NA	NA
OTU234	OTU234	6	bin6	OTU234	Bacteria	NA	NA	NA	NA	NA	NA
OTU2207	OTU2207	6	bin6	OTU2207	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU1406	OTU1406	6	bin6	OTU1406	Bacteria	NA	NA	NA	NA	NA	NA
OTU1953	OTU1953	6	bin6	OTU1953	Bacteria	NA	NA	NA	NA	NA	NA
OTU2233	OTU2233	6	bin6	OTU2233	Bacteria	NA	NA	NA	NA	NA	NA
OTU1622	OTU1622	6	bin6	OTU1622	Bacteria	NA	NA	NA	NA	NA	NA
OTU1235	OTU1235	6	bin6	OTU1235	Bacteria	NA	NA	NA	NA	NA	NA
OTU2145	OTU2145	6	bin6	OTU2145	Bacteria	NA	NA	NA	NA	NA	NA
OTU2339	OTU2339	6	bin6	OTU2339	Bacteria	NA	NA	NA	NA	NA	NA
OTU1881	OTU1881	6	bin6	OTU1881	Bacteria	NA	NA	NA	NA	NA	NA
OTU2259	OTU2259	6	bin6	OTU2259	Bacteria	NA	NA	NA	NA	NA	NA
