OTU_id	bin.id.new	bin_id	Taxa	phylum	class	
bin1	OTU1748	1	bin1	Others	Ignavibacteriae	Ignavibacteria
bin2	OTU19	2	bin2	Others	Acidobacteria	Acidobacteria_Gp6
bin3	OTU1	3	bin3	Others	Proteobacteria	Alphaproteobacteria
bin4	OTU471	4	bin4	Actinobacteria	Actinobacteria	Actinobacteria
bin5	OTU169	5	bin5	Actinobacteria	Actinobacteria	Actinobacteria
bin6	OTU458	6	bin6	Others	Actinobacteria	Actinobacteria
bin7	OTU41	7	bin7	Actinobacteria	Actinobacteria	Actinobacteria
bin8	OTU29	8	bin8	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin9	OTU5	9	bin9	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin10	OTU424	10	bin10	Actinobacteria	Actinobacteria	Actinobacteria
bin11	OTU32	11	bin11	Actinobacteria	Actinobacteria	Actinobacteria
bin12	OTU52	12	bin12	Actinobacteria	Actinobacteria	Actinobacteria
bin13	OTU603	13	bin13	Others	Proteobacteria	Alphaproteobacteria
bin14	OTU54	14	bin14	Actinobacteria	Actinobacteria	Actinobacteria
bin15	OTU127	15	bin15	Firmicutes	Firmicutes	Erysipelotrichia
bin16	OTU43	16	bin16	Firmicutes	Firmicutes	Bacilli
bin17	OTU13	17	bin17	Firmicutes	Firmicutes	Bacilli
bin18	OTU288	18	bin18	Firmicutes	Firmicutes	Clostridia
bin19	OTU908	19	bin19	Planctomycetia	Planctomycetes	Planctomycetia
bin20	OTU141	20	bin20	Others	Proteobacteria	NA
bin21	OTU253	21	bin21	Others	Proteobacteria	Deltaproteobacteria
bin22	OTU337	22	bin22	Others	Actinobacteria	NA
bin23	OTU183	23	bin23	Others	Nitrospirae	Nitrospira
bin24	OTU199	24	bin24	Others	Gemmatimonadetes	Gemmatimonadetes
bin25	OTU31	25	bin25	Actinobacteria	Actinobacteria	Actinobacteria
bin26	OTU387	26	bin26	Actinobacteria	Actinobacteria	Actinobacteria
bin27	OTU202	27	bin27	Others	Actinobacteria	Actinobacteria
bin28	OTU27	28	bin28	Others	Nitrospirae	Nitrospira
bin29	OTU95	29	bin29	Others	Acidobacteria	Acidobacteria_Gp7
bin30	OTU83	30	bin30	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin31	OTU258	31	bin31	Others	Nitrospirae	Nitrospira
bin32	OTU96	32	bin32	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin33	OTU195	33	bin33	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin34	OTU734	34	bin34	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin35	OTU48	35	bin35	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin36	OTU93	36	bin36	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin37	OTU1286	37	bin37	Others	Proteobacteria	Alphaproteobacteria
bin38	OTU1193	38	bin38	Others	Proteobacteria	Alphaproteobacteria
bin39	OTU8	39	bin39	Others	Proteobacteria	Betaproteobacteria
bin40	OTU244	40	bin40	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin41	OTU50	41	bin41	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin42	OTU12	42	bin42	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin43	OTU598	43	bin43	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin44	OTU982	44	bin44	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin45	OTU773	45	bin45	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin46	OTU930	46	bin46	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin47	OTU343	47	bin47	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria
bin48	OTU504	48	bin48	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin49	OTU361	49	bin49	Deltaproteobacteria	Proteobacteria	Deltaproteobacteria
bin50	OTU1591	50	bin50	Others	Spirochaetes	Spirochaetia
bin51	OTU175	51	bin51	Planctomycetia	Planctomycetes	Planctomycetia
bin52	OTU512	52	bin52	Planctomycetia	Planctomycetes	Planctomycetia
bin53	OTU192	53	bin53	Planctomycetia	Planctomycetes	Planctomycetia
bin54	OTU160	54	bin54	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin55	OTU67	55	bin55	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin56	OTU1097	56	bin56	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin57	OTU441	57	bin57	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin58	OTU24	58	bin58	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin59	OTU9	59	bin59	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin60	OTU6	60	bin60	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin61	OTU454	61	bin61	Others	Proteobacteria	Alphaproteobacteria
bin62	OTU77	62	bin62	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
bin63	OTU161	63	bin63	Alphaproteobacteria	Proteobacteria	Alphaproteobacteria
