type	period	bin_id	M.hoS	F.hoS
1	L	S1	bin1	4.44444444444444	0
2	L	S1	bin10	2.22222222222222	0
3	L	S1	bin11	8.88888888888889	0
4	L	S1	bin12	2.22222222222222	0
5	L	S1	bin13	2.22222222222222	0
6	L	S1	bin14	55.5555555555556	0
7	L	S1	bin15	2.22222222222222	2.22222222222222
8	L	S1	bin16	8.88888888888889	4.44444444444444
9	L	S1	bin17	46.6666666666667	93.3333333333333
10	L	S1	bin18	11.1111111111111	6.66666666666667
11	L	S1	bin19	0	0
12	L	S1	bin2	4.44444444444444	22.2222222222222
13	L	S1	bin20	2.22222222222222	0
14	L	S1	bin21	0	0
15	L	S1	bin22	0	0
16	L	S1	bin23	2.22222222222222	0
17	L	S1	bin24	15.5555555555556	0
18	L	S1	bin25	6.66666666666667	11.1111111111111
19	L	S1	bin26	4.44444444444444	0
20	L	S1	bin27	4.44444444444444	13.3333333333333
21	L	S1	bin28	2.22222222222222	13.3333333333333
22	L	S1	bin29	24.4444444444444	0
23	L	S1	bin3	0	6.66666666666667
24	L	S1	bin30	0	0
25	L	S1	bin31	4.44444444444444	0
26	L	S1	bin32	55.5555555555556	0
27	L	S1	bin33	44.4444444444444	2.22222222222222
28	L	S1	bin34	0	0
29	L	S1	bin35	26.6666666666667	0
30	L	S1	bin36	46.6666666666667	0
31	L	S1	bin37	0	0
32	L	S1	bin38	0	0
33	L	S1	bin39	6.66666666666667	0
34	L	S1	bin4	6.66666666666667	0
35	L	S1	bin40	0	0
36	L	S1	bin41	2.22222222222222	64.4444444444444
37	L	S1	bin42	0	0
38	L	S1	bin43	0	0
39	L	S1	bin44	0	0
40	L	S1	bin45	0	0
41	L	S1	bin46	2.22222222222222	0
42	L	S1	bin47	2.22222222222222	0
43	L	S1	bin48	0	22.2222222222222
44	L	S1	bin49	0	0
45	L	S1	bin5	2.22222222222222	0
46	L	S1	bin50	0	0
47	L	S1	bin51	20	0
48	L	S1	bin52	8.88888888888889	0
49	L	S1	bin53	4.44444444444444	0
50	L	S1	bin54	13.3333333333333	2.22222222222222
51	L	S1	bin55	2.22222222222222	0
52	L	S1	bin56	0	0
53	L	S1	bin57	13.3333333333333	62.2222222222222
54	L	S1	bin58	0	15.5555555555556
55	L	S1	bin59	6.66666666666667	0
56	L	S1	bin6	0	0
57	L	S1	bin60	46.6666666666667	4.44444444444444
58	L	S1	bin61	2.22222222222222	2.22222222222222
59	L	S1	bin62	84.4444444444444	6.66666666666667
60	L	S1	bin63	48.8888888888889	84.4444444444444
61	L	S1	bin7	0	0
62	L	S1	bin8	15.5555555555556	37.7777777777778
63	L	S1	bin9	11.1111111111111	4.44444444444444
64	L	S2	bin1	2.22222222222222	6.66666666666667
65	L	S2	bin10	22.2222222222222	13.3333333333333
66	L	S2	bin11	20	6.66666666666667
67	L	S2	bin12	13.3333333333333	33.3333333333333
68	L	S2	bin13	0	2.22222222222222
69	L	S2	bin14	42.2222222222222	17.7777777777778
70	L	S2	bin15	0	6.66666666666667
71	L	S2	bin16	33.3333333333333	11.1111111111111
72	L	S2	bin17	33.3333333333333	26.6666666666667
73	L	S2	bin18	0	0
74	L	S2	bin19	0	0
75	L	S2	bin2	0	6.66666666666667
76	L	S2	bin20	4.44444444444444	0
77	L	S2	bin21	0	4.44444444444444
78	L	S2	bin22	6.66666666666667	8.88888888888889
79	L	S2	bin23	0	0
80	L	S2	bin24	0	6.66666666666667
81	L	S2	bin25	6.66666666666667	11.1111111111111
82	L	S2	bin26	4.44444444444444	8.88888888888889
83	L	S2	bin27	6.66666666666667	0
84	L	S2	bin28	13.3333333333333	2.22222222222222
85	L	S2	bin29	2.22222222222222	0
86	L	S2	bin3	0	6.66666666666667
87	L	S2	bin30	33.3333333333333	6.66666666666667
88	L	S2	bin31	4.44444444444444	4.44444444444444
89	L	S2	bin32	0	0
90	L	S2	bin33	22.2222222222222	88.8888888888889
91	L	S2	bin34	0	0
92	L	S2	bin35	46.6666666666667	46.6666666666667
93	L	S2	bin36	93.3333333333333	55.5555555555556
94	L	S2	bin37	0	0
95	L	S2	bin38	0	0
96	L	S2	bin39	2.22222222222222	0
97	L	S2	bin4	2.22222222222222	2.22222222222222
98	L	S2	bin40	17.7777777777778	6.66666666666667
99	L	S2	bin41	4.44444444444444	2.22222222222222
100	L	S2	bin42	0	0
101	L	S2	bin43	0	0
102	L	S2	bin44	0	0
103	L	S2	bin45	0	0
104	L	S2	bin46	0	0
105	L	S2	bin47	0	0
106	L	S2	bin48	2.22222222222222	6.66666666666667
107	L	S2	bin49	0	22.2222222222222
108	L	S2	bin5	0	0
109	L	S2	bin50	0	0
110	L	S2	bin51	0	4.44444444444444
111	L	S2	bin52	0	0
112	L	S2	bin53	0	0
113	L	S2	bin54	17.7777777777778	15.5555555555556
114	L	S2	bin55	6.66666666666667	2.22222222222222
115	L	S2	bin56	0	0
116	L	S2	bin57	33.3333333333333	28.8888888888889
117	L	S2	bin58	15.5555555555556	4.44444444444444
118	L	S2	bin59	0	2.22222222222222
119	L	S2	bin6	0	0
120	L	S2	bin60	20	11.1111111111111
121	L	S2	bin61	6.66666666666667	8.88888888888889
122	L	S2	bin62	28.8888888888889	33.3333333333333
123	L	S2	bin63	6.66666666666667	2.22222222222222
124	L	S2	bin7	8.88888888888889	0
125	L	S2	bin8	11.1111111111111	20
126	L	S2	bin9	33.3333333333333	22.2222222222222
127	L	S3	bin1	2.22222222222222	2.22222222222222
128	L	S3	bin10	8.88888888888889	13.3333333333333
129	L	S3	bin11	8.88888888888889	0
130	L	S3	bin12	46.6666666666667	8.88888888888889
131	L	S3	bin13	0	0
132	L	S3	bin14	17.7777777777778	0
133	L	S3	bin15	0	0
134	L	S3	bin16	6.66666666666667	4.44444444444444
135	L	S3	bin17	48.8888888888889	6.66666666666667
136	L	S3	bin18	2.22222222222222	4.44444444444444
137	L	S3	bin19	0	0
138	L	S3	bin2	0	13.3333333333333
139	L	S3	bin20	0	0
140	L	S3	bin21	2.22222222222222	6.66666666666667
141	L	S3	bin22	11.1111111111111	4.44444444444444
142	L	S3	bin23	2.22222222222222	6.66666666666667
143	L	S3	bin24	6.66666666666667	0
144	L	S3	bin25	4.44444444444444	11.1111111111111
145	L	S3	bin26	0	2.22222222222222
146	L	S3	bin27	0	0
147	L	S3	bin28	0	13.3333333333333
148	L	S3	bin29	0	2.22222222222222
149	L	S3	bin3	0	0
150	L	S3	bin30	0	8.88888888888889
151	L	S3	bin31	2.22222222222222	0
152	L	S3	bin32	15.5555555555556	11.1111111111111
153	L	S3	bin33	42.2222222222222	40
154	L	S3	bin34	13.3333333333333	2.22222222222222
155	L	S3	bin35	46.6666666666667	22.2222222222222
156	L	S3	bin36	22.2222222222222	2.22222222222222
157	L	S3	bin37	0	0
158	L	S3	bin38	0	0
159	L	S3	bin39	0	0
160	L	S3	bin4	0	24.4444444444444
161	L	S3	bin40	0	0
162	L	S3	bin41	20	26.6666666666667
163	L	S3	bin42	0	0
164	L	S3	bin43	0	0
165	L	S3	bin44	0	0
166	L	S3	bin45	0	0
167	L	S3	bin46	0	0
168	L	S3	bin47	0	0
169	L	S3	bin48	0	8.88888888888889
170	L	S3	bin49	6.66666666666667	0
171	L	S3	bin5	2.22222222222222	0
172	L	S3	bin50	0	0
173	L	S3	bin51	13.3333333333333	6.66666666666667
174	L	S3	bin52	0	0
175	L	S3	bin53	4.44444444444444	2.22222222222222
176	L	S3	bin54	26.6666666666667	17.7777777777778
177	L	S3	bin55	4.44444444444444	0
178	L	S3	bin56	0	0
179	L	S3	bin57	2.22222222222222	26.6666666666667
180	L	S3	bin58	2.22222222222222	0
181	L	S3	bin59	31.1111111111111	60
182	L	S3	bin6	2.22222222222222	0
