"type" "Taxa" "Group" "weighted.MF.diff"
"1" "L" "Actinobacteria" "F" -0.00875508562118069
"2" "R" "Actinobacteria" "F" -0.00537151850305719
"3" "S" "Actinobacteria" "F" -0.00770457343465625
"4" "L" "Alphaproteobacteria" "F" -0.0831650877439984
"5" "R" "Alphaproteobacteria" "F" -1.64618141424972
"6" "S" "Alphaproteobacteria" "F" -0.0057148216197205
"7" "R" "Deltaproteobacteria" "F" -0.0461735695297032
"8" "S" "Deltaproteobacteria" "F" -0.098453149554266
"9" "R" "Firmicutes" "F" -0.0131263615666673
"10" "S" "Firmicutes" "F" -0.0222071396736271
"11" "L" "Gammaproteobacteria" "F" -0.0240627570826969
"12" "R" "Gammaproteobacteria" "F" -0.0365573818679492
"13" "S" "Gammaproteobacteria" "F" -3.63262869125123e-05
"14" "L" "Others" "F" -1.4728868545532
"15" "R" "Others" "F" -0.030043639324658
"16" "S" "Others" "F" -0.00376421561090588
"17" "L" "Planctomycetia" "F" 0
"18" "R" "Planctomycetia" "F" -0.000380501514408044
"19" "S" "Planctomycetia" "F" -1.61279049126578e-05
"20" "L" "Actinobacteria" "M" 0.00183696497170553
"21" "R" "Actinobacteria" "M" 0.00258719285149499
"22" "S" "Actinobacteria" "M" 0.067353061395295
"23" "L" "Alphaproteobacteria" "M" 8.48547949021192
"24" "R" "Alphaproteobacteria" "M" 0.711845882817814
"25" "S" "Alphaproteobacteria" "M" 0.0521032284571687
"26" "L" "Deltaproteobacteria" "M" 0.0574185923872718
"27" "R" "Deltaproteobacteria" "M" 9.45833948201706e-05
"28" "S" "Deltaproteobacteria" "M" 0.0308914719307047
"29" "L" "Firmicutes" "M" 0.115223030983722
"30" "R" "Firmicutes" "M" 0.000117611794765682
"31" "S" "Firmicutes" "M" 3.05051128194105e-05
"32" "L" "Gammaproteobacteria" "M" 2.15346324792978e-06
"33" "R" "Gammaproteobacteria" "M" 0.00170770949154427
"34" "S" "Gammaproteobacteria" "M" 7.01269252385934e-06
"35" "L" "Others" "M" 0.349650540160694
"36" "R" "Others" "M" 0.000788989433678354
"37" "S" "Others" "M" 0.015466658327343
"38" "L" "Planctomycetia" "M" 8.67976525989827e-05
"39" "R" "Planctomycetia" "M" 2.14004413919809e-07
"40" "S" "Planctomycetia" "M" 0.00227664881405392
