	OTU_id	bin.id.new	bin_id	OTU_id.1	domain	phylum	class	order	family	genus	species
62	OTU62	1	bin1	OTU62	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
90	OTU90	1	bin1	OTU90	Fungi	Ascomycota	NA	NA	NA	NA	NA
91	OTU91	1	bin1	OTU91	Fungi	Ascomycota	NA	NA	NA	NA	NA
108	OTU108	1	bin1	OTU108	Fungi	Ascomycota	NA	NA	NA	NA	NA
153	OTU153	1	bin1	OTU153	Fungi	Ascomycota	NA	NA	NA	NA	NA
175	OTU175	1	bin1	OTU175	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
270	OTU270	1	bin1	OTU270	Fungi	NA	NA	NA	NA	NA	NA
626	OTU626	1	bin1	OTU626	Fungi	Ascomycota	NA	NA	NA	NA	NA
721	OTU721	1	bin1	OTU721	Fungi	Ascomycota	NA	NA	NA	NA	NA
726	OTU726	1	bin1	OTU726	Fungi	Ascomycota	NA	NA	NA	NA	NA
900	OTU900	1	bin1	OTU900	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
941	OTU941	1	bin1	OTU941	Fungi	Ascomycota	NA	NA	NA	NA	NA
976	OTU976	1	bin1	OTU976	Fungi	Ascomycota	NA	NA	NA	NA	NA
1154	OTU1154	1	bin1	OTU1154	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
1221	OTU1221	1	bin1	OTU1221	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
1612	OTU1612	1	bin1	OTU1612	Fungi	Ascomycota	NA	NA	NA	NA	NA
14	OTU14	10	bin10	OTU14	Fungi	Basidiomycota	NA	NA	NA	NA	NA
103	OTU103	10	bin10	OTU103	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginales_Incertae sedis	Farysizyma	Farysizyma itapuensis
368	OTU368	10	bin10	OTU368	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromataceae	Sympodiomycopsis	Sympodiomycopsis paphiopedili
576	OTU576	10	bin10	OTU576	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	NA	NA
620	OTU620	10	bin10	OTU620	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginales_Incertae sedis	Farysizyma	Farysizyma itapuensis
768	OTU768	10	bin10	OTU768	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago trichophora
921	OTU921	10	bin10	OTU921	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_Incertae sedis	Exobasidiomycetidae_Incertae sedis	Tilletiopsis	Tilletiopsis pallescens
978	OTU978	10	bin10	OTU978	Fungi	Basidiomycota	NA	NA	NA	NA	NA
1068	OTU1068	10	bin10	OTU1068	Fungi	Basidiomycota	NA	NA	NA	NA	NA
1177	OTU1177	10	bin10	OTU1177	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma antarctica
1398	OTU1398	10	bin10	OTU1398	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma churashimaensis
1416	OTU1416	10	bin10	OTU1416	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginales_Incertae sedis	Farysizyma	Farysizyma itapuensis
1448	OTU1448	10	bin10	OTU1448	Fungi	Basidiomycota	NA	NA	NA	NA	NA
1458	OTU1458	10	bin10	OTU1458	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	NA
1514	OTU1514	10	bin10	OTU1514	Fungi	Basidiomycota	NA	NA	NA	NA	NA
1586	OTU1586	10	bin10	OTU1586	Fungi	Basidiomycota	NA	NA	NA	NA	NA
1595	OTU1595	10	bin10	OTU1595	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	NA
1599	OTU1599	10	bin10	OTU1599	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	NA	NA
89	OTU89	11	bin11	OTU89	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae sedis	Erythrobasidium	Sporobolomyces yunnanensis
163	OTU163	11	bin11	OTU163	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolus	Sporidiobolus ruineniae
202	OTU202	11	bin11	OTU202	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Sporobolomyces	NA
410	OTU410	11	bin11	OTU410	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolus	Sporidiobolus pararoseus
515	OTU515	11	bin11	OTU515	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae sedis	Erythrobasidium	Erythrobasidium hasegawianum
527	OTU527	11	bin11	OTU527	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Sporobolomyces	NA
744	OTU744	11	bin11	OTU744	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Sporobolomyces	Sporobolomyces poonsookiae
752	OTU752	11	bin11	OTU752	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodosporidium	Rhodosporidium paludigenum
789	OTU789	11	bin11	OTU789	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula armeniaca
870	OTU870	11	bin11	OTU870	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Bensingtonia	NA
971	OTU971	11	bin11	OTU971	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Sporobolomyces	Sporobolomyces subbrunneus
1095	OTU1095	11	bin11	OTU1095	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Bensingtonia	NA
1139	OTU1139	11	bin11	OTU1139	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae sedis	Erythrobasidium	Sporobolomyces yunnanensis
1270	OTU1270	11	bin11	OTU1270	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Bensingtonia	NA
1296	OTU1296	11	bin11	OTU1296	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidiella creatinivora
1352	OTU1352	11	bin11	OTU1352	Fungi	Basidiomycota	NA	NA	NA	NA	NA
1376	OTU1376	11	bin11	OTU1376	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Bensingtonia	Bensingtonia naganoensis
1500	OTU1500	11	bin11	OTU1500	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula aurantiaca
1538	OTU1538	11	bin11	OTU1538	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula lamellibrachiae
1621	OTU1621	11	bin11	OTU1621	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	Sterigmatomyces halophilus
1631	OTU1631	11	bin11	OTU1631	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodosporidium	Rhodosporidium kratochvilovae
1666	OTU1666	11	bin11	OTU1666	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Sporobolomyces	NA
140	OTU140	12	bin12	OTU140	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora cupiformis
229	OTU229	12	bin12	OTU229	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
234	OTU234	12	bin12	OTU234	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	NA
266	OTU266	12	bin12	OTU266	Fungi	Ascomycota	NA	NA	NA	NA	NA
334	OTU334	12	bin12	OTU334	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium brasiliense
349	OTU349	12	bin12	OTU349	Fungi	Ascomycota	NA	NA	NA	NA	NA
