type	period	bin_id	M.hoS	F.hoS
1	L	S1	bin1	0	0
2	L	S1	bin10	0	0
3	L	S1	bin11	0	0
4	L	S1	bin12	2.22222222222222	0
5	L	S1	bin13	28.8888888888889	0
6	L	S1	bin14	0	0
7	L	S1	bin15	0	0
8	L	S1	bin16	0	0
9	L	S1	bin17	0	0
10	L	S1	bin18	2.22222222222222	0
11	L	S1	bin19	0	0
12	L	S1	bin2	0	0
13	L	S1	bin20	0	0
14	L	S1	bin21	0	0
15	L	S1	bin22	0	0
16	L	S1	bin23	2.22222222222222	53.3333333333333
17	L	S1	bin24	22.2222222222222	0
18	L	S1	bin25	13.3333333333333	0
19	L	S1	bin26	0	22.2222222222222
20	L	S1	bin27	100	100
21	L	S1	bin28	2.22222222222222	0
22	L	S1	bin29	0	0
23	L	S1	bin3	2.22222222222222	0
24	L	S1	bin30	0	0
25	L	S1	bin31	0	2.22222222222222
26	L	S1	bin32	0	0
27	L	S1	bin33	2.22222222222222	0
28	L	S1	bin34	0	0
29	L	S1	bin35	13.3333333333333	6.66666666666667
30	L	S1	bin36	22.2222222222222	0
31	L	S1	bin37	0	0
32	L	S1	bin38	0	24.4444444444444
33	L	S1	bin39	8.88888888888889	2.22222222222222
34	L	S1	bin4	0	0
35	L	S1	bin40	13.3333333333333	0
36	L	S1	bin41	0	0
37	L	S1	bin42	0	8.88888888888889
38	L	S1	bin43	0	0
39	L	S1	bin44	28.8888888888889	6.66666666666667
40	L	S1	bin45	0	0
41	L	S1	bin46	2.22222222222222	0
42	L	S1	bin47	0	0
43	L	S1	bin48	0	2.22222222222222
44	L	S1	bin49	0	0
45	L	S1	bin5	0	0
46	L	S1	bin50	0	0
47	L	S1	bin51	0	0
48	L	S1	bin52	2.22222222222222	2.22222222222222
49	L	S1	bin53	0	0
50	L	S1	bin54	0	0
51	L	S1	bin55	0	80
52	L	S1	bin56	2.22222222222222	0
53	L	S1	bin57	0	0
54	L	S1	bin58	0	0
55	L	S1	bin59	0	0
56	L	S1	bin6	4.44444444444444	4.44444444444444
57	L	S1	bin60	0	0
58	L	S1	bin61	46.6666666666667	0
59	L	S1	bin62	0	0
60	L	S1	bin63	0	0
61	L	S1	bin64	0	0
62	L	S1	bin65	0	0
63	L	S1	bin7	6.66666666666667	0
64	L	S1	bin8	0	0
65	L	S1	bin9	0	0
66	L	S2	bin1	0	0
67	L	S2	bin10	0	0
68	L	S2	bin11	0	0
69	L	S2	bin12	6.66666666666667	2.22222222222222
70	L	S2	bin13	22.2222222222222	6.66666666666667
71	L	S2	bin14	0	0
72	L	S2	bin15	0	2.22222222222222
73	L	S2	bin16	0	0
74	L	S2	bin17	0	0
75	L	S2	bin18	2.22222222222222	2.22222222222222
76	L	S2	bin19	0	0
77	L	S2	bin2	0	0
78	L	S2	bin20	0	0
79	L	S2	bin21	0	0
80	L	S2	bin22	0	0
81	L	S2	bin23	46.6666666666667	4.44444444444444
82	L	S2	bin24	13.3333333333333	0
83	L	S2	bin25	46.6666666666667	13.3333333333333
84	L	S2	bin26	0	0
85	L	S2	bin27	100	80
86	L	S2	bin28	0	22.2222222222222
87	L	S2	bin29	0	0
88	L	S2	bin3	0	0
89	L	S2	bin30	0	0
90	L	S2	bin31	0	0
91	L	S2	bin32	0	0
92	L	S2	bin33	0	0
93	L	S2	bin34	0	0
94	L	S2	bin35	62.2222222222222	2.22222222222222
95	L	S2	bin36	33.3333333333333	22.2222222222222
96	L	S2	bin37	0	0
97	L	S2	bin38	0	0
98	L	S2	bin39	0	0
99	L	S2	bin4	0	0
100	L	S2	bin40	0	0
101	L	S2	bin41	0	0
102	L	S2	bin42	0	0
103	L	S2	bin43	0	0
104	L	S2	bin44	0	6.66666666666667
105	L	S2	bin45	0	0
106	L	S2	bin46	0	4.44444444444444
107	L	S2	bin47	0	0
108	L	S2	bin48	0	0
109	L	S2	bin49	0	0
110	L	S2	bin5	0	0
111	L	S2	bin50	0	2.22222222222222
112	L	S2	bin51	0	0
113	L	S2	bin52	0	0
114	L	S2	bin53	0	0
115	L	S2	bin54	0	0
116	L	S2	bin55	0	0
117	L	S2	bin56	0	6.66666666666667
118	L	S2	bin57	0	0
119	L	S2	bin58	17.7777777777778	17.7777777777778
120	L	S2	bin59	0	2.22222222222222
121	L	S2	bin6	0	0
122	L	S2	bin60	0	0
123	L	S2	bin61	0	2.22222222222222
124	L	S2	bin62	0	0
125	L	S2	bin63	0	0
126	L	S2	bin64	0	0
127	L	S2	bin65	0	0
128	L	S2	bin7	0	17.7777777777778
129	L	S2	bin8	15.5555555555556	0
130	L	S2	bin9	0	0
131	L	S3	bin1	2.22222222222222	0
132	L	S3	bin10	13.3333333333333	2.22222222222222
133	L	S3	bin11	15.5555555555556	2.22222222222222
134	L	S3	bin12	13.3333333333333	13.3333333333333
135	L	S3	bin13	46.6666666666667	33.3333333333333
136	L	S3	bin14	0	0
137	L	S3	bin15	2.22222222222222	4.44444444444444
138	L	S3	bin16	0	0
139	L	S3	bin17	0	0
140	L	S3	bin18	24.4444444444444	2.22222222222222
141	L	S3	bin19	0	0
142	L	S3	bin2	0	0
143	L	S3	bin20	0	0
144	L	S3	bin21	0	0
145	L	S3	bin22	2.22222222222222	6.66666666666667
146	L	S3	bin23	8.88888888888889	2.22222222222222
147	L	S3	bin24	2.22222222222222	62.2222222222222
148	L	S3	bin25	22.2222222222222	46.6666666666667
149	L	S3	bin26	26.6666666666667	2.22222222222222
150	L	S3	bin27	80	46.6666666666667
151	L	S3	bin28	6.66666666666667	6.66666666666667
152	L	S3	bin29	0	2.22222222222222
153	L	S3	bin3	2.22222222222222	0
154	L	S3	bin30	0	0
155	L	S3	bin31	17.7777777777778	57.7777777777778
156	L	S3	bin32	0	0
157	L	S3	bin33	17.7777777777778	8.88888888888889
158	L	S3	bin34	2.22222222222222	0
159	L	S3	bin35	2.22222222222222	4.44444444444444
160	L	S3	bin36	91.1111111111111	100
161	L	S3	bin37	2.22222222222222	6.66666666666667
