type	bin_id	M.hoS	F.hoS
1	L	bin1	0.000108581001427065	0
2	L	bin10	0.00307129118322268	0.210709189055035
3	L	bin11	0.0281224793696097	0.00853136439784079
4	L	bin12	0.00136501830365453	0.000573928150400199
5	L	bin13	0.00879506111559223	0.0108736117143389
6	L	bin14	4.65347148973134e-05	0
7	L	bin15	6.20462865297512e-05	0.000217162002854129
8	L	bin16	0	0
9	L	bin17	0	0
10	L	bin18	0.00189241173915741	0.000372277719178507
11	L	bin19	0	0
12	L	bin2	0	0
13	L	bin20	0	0
14	L	bin21	0	0
15	L	bin22	3.10231432648756e-05	9.30694297946268e-05
16	L	bin23	0.00274554817894149	0.549652540795433
17	L	bin24	0.00341254575913632	0.00282310603710368
18	L	bin25	0.0158218030650866	0.0144257616181672
19	L	bin26	0.564388533846249	0.0172798907985357
20	L	bin27	227.508034994106	224.549776633368
21	L	bin28	0.000434324005708258	0.0045138673450394
22	L	bin29	0	0.00263696717751443
23	L	bin3	0.00013960414469194	3.10231432648756e-05
24	L	bin30	0.000108581001427065	0
25	L	bin31	0.0913321337717937	1.48973133957933
26	L	bin32	0	0
27	L	bin33	0.00122541415896259	0.000465347148973134
28	L	bin34	0.000387789290810945	0
29	L	bin35	4.64517279890798	2.56936774834026
30	L	bin36	49.9713191040516	57.3844077681951
31	L	bin37	0.0225228020102997	0.0091518272631383
32	L	bin38	7.7557858162189e-05	0.000853136439784079
33	L	bin39	0.000682509151827263	0.0954892349692871
34	L	bin4	0	0
35	L	bin40	0.448548116895204	0.000155115716324378
36	L	bin41	0.0460228330334429	0.00701123037786188
37	L	bin42	0.000186138859589254	0.000294719861016318
38	L	bin43	0	0
39	L	bin44	0.00510330706707204	1.94820686231929
40	L	bin45	0	0
41	L	bin46	0.000589439722032636	0.0206303902711423
42	L	bin47	0	6.20462865297512e-05
43	L	bin48	4.65347148973134e-05	9.30694297946268e-05
44	L	bin49	0.0101445678476143	0
45	L	bin5	0	0
46	L	bin50	3.10231432648756e-05	0.167493950487063
47	L	bin51	0	0
48	L	bin52	0.14965564310976	0.0659707141527579
49	L	bin53	0.0622944716758702	2.02076999441583
50	L	bin54	0	0
51	L	bin55	0.000124092573059502	0.458444499596699
52	L	bin56	0.187814109325557	0.000372277719178507
53	L	bin57	3.10231432648756e-05	0.00645281379909412
54	L	bin58	7.0253459080474	0.0452937891667184
55	L	bin59	0.000124092573059502	0.00170627287956816
56	L	bin6	0.000729043866724577	0.372975739901967
57	L	bin60	0	0
58	L	bin61	0.00228020102996836	0.000186138859589254
59	L	bin62	0	0
60	L	bin63	0	0
61	L	bin64	0.0045138673450394	0.00885710740212198
62	L	bin65	0	0
63	L	bin7	0.000620462865297512	0.0465967611838431
64	L	bin8	3.71170192963951	0
65	L	bin9	0	0
66	R	bin1	0.00313333746975244	0.168533225786437
67	R	bin10	0.00162871502140597	0.00049637029223801
68	R	bin11	0	0
69	R	bin12	0.000604951293665074	0.00161320344977353
70	R	bin13	1.32228392380716	0.540066389526587
71	R	bin14	0.0672891977415152	0
72	R	bin15	0.059595458211826	0.588943351740398
73	R	bin16	0.21576596140721	4.65347148973134e-05
74	R	bin17	0.00525842278339641	0.000465347148973134
75	R	bin18	0.588695166594279	0.630126574424521
76	R	bin19	0	0
77	R	bin2	0.198005211888068	0.656946081777006
78	R	bin20	0.0052118880684991	0.0025438977477198
79	R	bin21	0.00153564559161134	0
80	R	bin22	0.000977229012843581	3.10231432648756e-05
81	R	bin23	0.0443320717255072	0.226872246696035
82	R	bin24	7.74377985977539	0.974778184525656
83	R	bin25	23.5286033380902	34.2094992864677
84	R	bin26	0.683781100701123	1.10513743252466
85	R	bin27	3.46782900043432	5.16231308556183
86	R	bin28	0.379909412421667	0.914934541167711
87	R	bin29	4.65347148973134e-05	0
88	R	bin3	0.931500899671155	0.573897127256934
89	R	bin30	1.30180864925234	1.70622634485326
90	R	bin31	0.0309766085499783	0.00167524973630328
91	R	bin32	0.000403300862443383	0
92	R	bin33	0.00164422659303841	0.000341254575913632
93	R	bin34	0.000155115716324378	0
94	R	bin35	0.00563070050257492	0.00519637649686666
95	R	bin36	0.144335174039834	0.0255785816218899
96	R	bin37	0.193444809828132	4.90071042998077
97	R	bin38	0.0448594651610101	0
98	R	bin39	0.365592231804926	1.40789228764658
99	R	bin4	0	0
100	R	bin40	0.380173109139418	0.253397034187504
101	R	bin41	2.26985481168952	1.94024942607185
102	R	bin42	0.00794192467580815	0.0125178383073773
103	R	bin43	0	0
104	R	bin44	0.0339393187317739	1.11939256685487
105	R	bin45	0.00235775888813055	0
106	R	bin46	0.00201650431221691	0.666873487621766
107	R	bin47	2.10810014270646	0.000124092573059502
108	R	bin48	0.0793572004715518	0.165663585034436
109	R	bin49	0.165477446174846	0.164981075882608
110	R	bin5	0.000263696717751443	0.0686387044735373
111	R	bin50	0.000744555438357014	0.019451510827077
112	R	bin51	0	0
