F361P1ML	F361P1MR	F361P1MS	F361P2ML	F361P2MR	F361P2MS	F361P3ML	F361P3MR	F361P3MS	F367P1ML	F367P1MR	F367P1MS	F367P2ML	F367P2MR	F367P2MS	F367P3ML	F367P3MR	F367P3MS	F368P1ML	F368P1MR	F368P1MS	F368P2ML	F368P2MR	F368P2MS	F368P3ML	F368P3MR	F368P3MS	F396P1ML	F396P1MR	F396P1MS	F396P2ML	F396P2MR	F396P2MS	F396P3ML	F396P3MR	F396P3MS	F397P1ML	F397P1MR	F397P1MS	F397P2ML	F397P2MR	F397P2MS	F397P3ML	F397P3MR	F397P3MS	F398P1ML	F398P1MR	F398P1MS	F398P2ML	F398P2MR	F398P2MS	F398P3ML	F398P3MR	F398P3MS	F405P1ML	F405P1MR	F405P1MS	F405P2ML	F405P2MR	F405P2MS	F405P3ML	F405P3MR	F405P3MS	F406P1ML	F406P1MR	F406P1MS	F406P2ML	F406P2MR	F406P2MS	F406P3ML	F406P3MR	F406P3MS	F416P1ML	F416P1MR	F416P1MS	F416P2ML	F416P2MR	F416P2MS	F416P3ML	F416P3MR	F416P3MS	F427P1ML	F427P1MR	F427P1MS	F427P2ML	F427P2MR	F427P2MS	F427P3ML	F427P3MR	F427P3MS	M354P1ML	M354P1MR	M354P1MS	M354P2ML	M354P2MR	M354P2MS	M354P3ML	M354P3MR	M354P3MS	M365P1ML	M365P1MR	M365P1MS	M365P2ML	M365P2MR	M365P2MS	M365P3ML	M365P3MR	M365P3MS	M373P1ML	M373P1MR	M373P1MS	M373P2ML	M373P2MR	M373P2MS	M373P3ML	M373P3MR	M373P3MS	M376P1ML	M376P1MR	M376P1MS	M376P2ML	M376P2MR	M376P2MS	M376P3ML	M376P3MR	M376P3MS	M377P1ML	M377P1MR	M377P1MS	M377P2ML	M377P2MR	M377P2MS	M377P3ML	M377P3MR	M377P3MS	M395P1ML	M395P1MR	M395P1MS	M395P2ML	M395P2MR	M395P2MS	M395P3ML	M395P3MR	M395P3MS	M402P1ML	M402P1MR	M402P1MS	M402P2ML	M402P2MR	M402P2MS	M402P3ML	M402P3MR	M402P3MS	M415P1ML	M415P1MR	M415P1MS	M415P2ML	M415P2MR	M415P2MS	M415P3ML	M415P3MR	M415P3MS	M422P1ML	M422P1MR	M422P1MS	M422P2ML	M422P2MR	M422P2MS	M422P3ML	M422P3MR	M422P3MS	M428P1ML	M428P1MR	M428P1MS	M428P2ML	M428P2MR	M428P2MS	M428P3ML	M428P3MR	M428P3MS
bin1	2.29152822017004	0	19.2886351361777	0	1059.71176742769	26.4500283393161	0	3595.60853044199	260.807545321964	0	1.88762942059215	176.467926577276	1.09543023022292	1972.96198414312	113.54895425076	0	1.10626811514039	267.150505916271	0	0	522.601432187066	0	2377.96618672553	157.933161494108	0	0.985736394373417	359.864949558255	0	3.98475168355758	515.546532749225	0.89507084485737	0.827136700882555	139.700482166235	0.800416216432545	145.14958471091	107.57582026563	0	2.23703637421144	55.1097602725428	14.1777495973125	710.09473201436	63.1288605726273	0.823438349170798	763.366849578668	131.331681899718	0.689717009111162	5152.21763360302	619.68764393083	0	742.846827330987	71.5851639747662	5.26707850204287	2149.75819277499	6.5803327016214	0	0	77.6583034647551	0	7.77993887190886	45.4672635702295	1.72754834975944	19.698611247907	57.4007585904175	0	0	284.237726098192	0	8318.20852074949	67.9244679915933	0.850376291508993	190.705316277432	40.3701633438917	0	5.83379517545139	141.298982840884	0	0	306.205226054866	9.88915900943591	58.3058899746261	96.2616366915241	0	12343.7618938875	44.1609421000981	0.415385893495057	52.1995824033408	56.6759552259953	0	3157.39339945089	1344.67129496501	2.20857811740801	5234.3027127057	140.306241757009	0	3.24408495177127	110.678830158304	5.1955763378609	277.448984423086	243.418415727371	0	660.134368414417	94.8872516186649	0.387425711119893	5145.91878790258	69.8386548000644	0.777786419849109	4017.34162598003	300.158147841335	0	0.893958627594715	54.9220629772989	0	3.7824343747636	110.057701680738	0	225.333414849297	122.324871558885	0	12292.0456966776	21.9292234313752	0	3.10244265651823	123.132886943085	0	422.77150206912	185.40663294972	0	8.82941568889063	402.091487279844	0	1883.93608074012	197.299593464539	0.803587213320262	263.926052055461	101.845957988542	0.840424414329236	22.6398007697532	320.249794839975	0	2.16433819948706	312.294001318392	0	30.8188903577424	454.213642631195	0.88613988604241	2.87848476561938	1013.57535817171	0	29290.7189175082	1221.30219946442	0	1960.38945119602	397.191574724173	0	0	192.438804460182	0	3.49143725014402	393.463241355281	0	94.4099378881988	196.842942044895	0	0	20.6817684128568	1.04305740987984	4.82509047044632	224.719101123596	0.82936619835122	155.407413697932	161.028360425893	0.457743416505312	5.51516209980605	34.6087600405647	1.09258571334921	6.62189007662473	215.114633455986	0.596441629239954	386.169413952158	28.9527780190509
bin10	0	3.40454506766533	0	0	0	26.4500283393161	6458.13100072351	0	12.7742471178105	0	1.88762942059215	0	0	0	7.32573898392	34.8941543983251	1.10626811514039	4.45250843193784	0	1.43625539493433	1.72760804028782	0.350239388622123	0	9.68458065765753	3840.27543156845	0	13.1411357984756	0	2.65650112237172	0	0	0	0	5834.23380157682	13.4397763621214	15.1709490118196	0	0	1.6699927355316	0.393826377703126	0	61.1864340934696	11808.9293654584	158.594220826593	12.8128470146066	0	0	1.04676966880208	0	0	11.6325891458995	31126.9290675014	5.40955760637895	94.756790903348	0	0	4.26693975081072	0	0	4.19697817571348	20800.5459052785	0	11.2550507040034	0	0	111.627906976744	0	0	31.1653441373193	25955.1851694375	0	0	0	1.45844879386285	0	0	0.944634945825186	0	37.9084428695043	0	4.87400692108983	0	4.56725279744234	1.22669283611384	0	0	13.3818227616933	10872.8718347593	24.2804579667918	9.58523326349806	0	1.72949040565197	0	0	2.16272330118084	0.83847598604776	16421.732353596	0	14.6637599835766	0	6.30414812946919	0	0	1.96259297784233	0	22925.2547250525	0	0	0.388366104959824	0	0	0	3.7824343747636	0.786126440576702	4413.16297726935	0	0	0	3.27809739227352	1.37057646446095	0	1.03414755217274	2.41437033221736	236.829944547135	7.82910189016888	51.5627914120525	0	5.88627712592709	0.764432485322896	0	3.15391084945332	22.468281106282	4.01793606660131	1.21624908781318	17.6271850364785	0	0	1.00078060887492	0	0	0	42.8575030042269	0	2.02773947603212	0	0	0	0	0	7.84322513417517	204.053870221739	1.75112947851364	2.00601805416249	0	2.42314588953686	5.49825155600519	1.21261360673728	1.74571862507201	4.24906308159051	2.80565901423171	3.97515527950311	0	0	0	1.21657461252099	0	0	5.68909116768596	0	14.43675427795	1.38817552091286	0	0	3.21941953865718	0	0.945984296660675	5.66091140673648	3.57864977543973	4.46955340222405	2.89527780190509
bin11	0	0	5.78659054085332	1.10357004910887	0	5.03810063606021	808.244089715094	0	1.06452059315087	0	0	0	0.365143410074307	0	1.22095649732	216.011431989631	3.31880434542116	4.45250843193784	0	0	0	0.350239388622123	0	5.21477420027713	6681.46789581222	0	8.08685279906192	0	0	46.7464472700074	0	0	27.9400964332471	6.40332973146035	0	262.04366474961	0	1.11851818710572	5.8449745743606	1.5753055108125	0	43.7045957810496	136.690765962352	0	2.13547450243444	0	0	3.14030900640623	0	0	15.2118473446379	2.25731935801837	6.49146912765474	9.21246578226995	0	0.769467528470299	0	0	0	0.699496362618914	5780.37677829509	0	9.00404056320274	0	0	12.4031007751938	0	0	3.19644555254557	857.179301841065	0	4.14052957373248	0	0	0	0	0	1.14255681363756	7166.34389550455	0	4.87400692108983	0	0	9.8135426889107	0	0	17.3176529857208	0.864229539365655	23.3465941988383	21.9091046022812	0	0	0	0	0	7.54628387442984	533.659912417428	0.946924861512239	12.7085919857664	0	0.90059258992417	0.930267172732009	0	0	2.68610210769479	151.668351870577	0	7.53084958741703	0	0	0	1.44537912294395	0	2.35837932173011	5319.41761996731	0	6.98999266050771	0	0	0	0	2.06829510434549	5.63353077517384	277.264325323475	4.47377250866793	7.6795646783908	0.405017354993661	0	0	0	0	21.0640135371394	0	0	0.979288057582138	0	0	0	0	0	1.6479894528675	6.72274556929049	0	2.02773947603212	0	0	56.8450058290218	0	2.00758868523017	5.60230366726798	3.5798924600305	0	8563.69107321966	0	0.807715296512285	2.19930062240208	0	0	0	0	0	1.26181373105702	0	0	2.43314922504197	0	0	0	0	0	6.94087760456432	0	0	0	1.09258571334921	0	3.39654684404189	0	0	19.3018520127006
bin12	0	0.567424177944222	998.186868297199	0	4.51421413174733	1471.12538572958	2.60723899908095	2.47546198309259	1387.07033287559	0	0	238.307114523159	0	2.0329335230738	197.79495256584	4.98487919976073	2.21253623028077	459.721495597582	0	0	349.840628158284	0	0	392.598000506578	3.21765850990234	4.92868197186708	1014.90002628227	0	0	868.148306442996	0	0	381.581888431203	0.800416216432545	1.34397763621213	751.651564676514	0	2.23703637421144	339.843521680681	5.90739566554689	1.58150274390726	346.723126529661	0.823438349170798	2.11458961102124	563.765268642692	0	0	705.5227567726	0	0	106.482931412465	3.76219893003062	1.08191152127579	282.954306169719	0	0.769467528470299	937.873357228195	0	0	225.937325125909	0.863774174879719	3.28310187465117	640.412385057795	0	0	99.2248062015504	0.860655561341073	0	500.243728973382	0	2.93392794272973	240.150715276483	0	2.91689758772569	432.607159793665	1.13305460190127	1.88926989165037	173.668635672909	1.64819316823932	52.9071964584571	355.802505239558	0	0	342.247301275761	0.415385893495057	4.499964000288	228.278152993592	0.864229539365655	0	447.767325309124	0	0	221.683861976074	1.0676802511184	4.32544660236169	201.234236651462	0	0	178.897871799634	2.56732818156145	1.80118517984834	900.498623204584	0.387425711119893	0.981296488921163	285.622190784879	0	0	544.372841604717	0.388366104959824	0.893958627594715	67.9987446385605	0	2.8368257810727	255.491093187428	2.22849502302778	3.49354131549298	5.82499388375642	0	1.63904869613676	796.304925851813	0	0	387.908833376255	3.61021256931609	8.94754501733587	612.171012934581	0.405017354993661	0.981046187654515	450.250733855185	0	5.2565180824222	617.175596638183	7.23228491988235	4.86499635125273	588.552122606865	0	0.905592030790129	204.159244210484	2.3476658332453	1.08216909974353	65.0955833882663	0	0	369.048584637845	0	4.31772714842907	764.998892004124	0	1.00379434261509	89.6368586762877	1.4319569840122	1.75112947851364	519.558676028084	3.10231432648756	0.807715296512285	920.407310475269	2.42522721347456	0	277.888725536019	2.10424426067378	0.993788819875776	1054.87627916367	3.00012000480019	0	403.902771356967	3.12917222963952	2.41254523522316	164.035462001612	2.48809859505366	5.94454587915587	344.267529186391	0	0	67.6078103118008	4.37034285339685	1.89196859332135	168.695159920747	0.596441629239954	1.78782136088962	596.427227192449
bin13	1.14576411008502	5.67424177944222	10821.8887431525	1.10357004910887	13.542642395242	9223.50273946723	7.16990724747261	32.1810057802037	8893.00503518241	0.770113437709375	8.49433239266467	24320.9001372528	1.46057364029723	9.14820085383208	21541.3354822168	1.66162639992024	14.381485496825	12396.8966016229	0	2.87251078986865	15896.5853827084	0.350239388622123	7.88355275888512	21049.8085432901	1.60882925495117	4948.39669975455	19659.1391545195	2.21048210614735	1.32825056118586	40903.1413612565	3.58028337942949	1.65427340176511	38214.0690359869	10.4054108136231	13.4397763621213	24385.2317707255	1.51419940491963	6.71110912263433	27941.4834545469	1543.40557421855	10.2797678353972	18899.8096422051	9.05782184087877	13.744832471638	22461.9885538566	0.689717009111162	69.085158972627	21697.4416949295	1.11483963031918	2.70782561603033	11750.7046664579	1.50487957201225	11.9010267340337	14316.1718256475	1.59642401021711	3.8473376423515	35731.3534732889	0.761145066638251	11.1141983884412	13761.1919418019	4.3188708743986	33.9253860380621	10176.8168465599	1.71442776687211	0.71518480375329	39868.7338501292	2.58196668402322	0	27637.2673586971	5.95263404056295	141.806517231937	15155.3733722543	0	8.75069276317709	27318.125949655	1.13305460190127	8.50171451242668	10040.7892782469	17.3060282665128	177.077147330346	18643.0764731686	1.06626859305859	15.9853847910482	31234.0529931305	1.24615768048517	5.3999568003456	13624.2699034934	9.50652493302221	182.103434750939	25109.203193252	15.4600468218561	9.51219723108586	40721.5482326091	1.0676802511184	7.56953155413296	15877.3812718004	5.93780152898389	10.4161734766346	26421.1627384083	37.226258632641	22.5148147481043	41525.2660564114	0.774851422239786	5.88777893352698	30058.3779524739	7.00007777864199	0	19269.2924228895	1.55346441983929	13.4093794139207	48042.8566446979	4.33613736883184	3.7824343747636	22435.2624876185	3.71415837171297	1319.68523192747	35566.24765544	4.04022447487182	9.83429217682058	29430.3884213701	1.52951388225037	9.30732796955469	26762.4903425186	6.49838262476895	51.4483838496812	18610.8764577459	4.05017354993661	20.6019699407448	28908.543297456	1.15085393361875	6.30782169890664	17081.5107110509	8.03587213320261	59.5962053028461	12794.3984723106	100.850929719508	25239.7554901517	22865.8353515742	2.3476658332453	19.4790437953834	8620.6328279499	12.6051479424197	0	13184.3620731608	3.10148960114844	27.3456052733841	22161.844475918	2.73243952200525	8.03035474092069	10614.1245280059	5.7278279360488	7141.98157811789	19001.0030090271	9.30694297946268	3.23086118604914	35453.8256834326	4.24414762358048	10.4743117504321	22505.5875179523	2.10424426067378	31.8012422360248	38785.6304652308	3.00012000480019	0	31432.6382637047	4.17222963951936	12.0627261761158	5311.71478689613	11.6111267769171	101.906500785529	9856.04619848134	1.37323024951594	5.51516209980605	26189.9779469761	3.27775714004764	6302.14738435342	22643.645626946	5.96441629239954	59.8920155898022	23276.1033421157
bin14	1.14576411008502	0	979.86266491783	0	0	110.838213993325	0	4.95092396618519	363.001522264449	0	0	393.659220826232	0	0	210.00451753904	0.830813199960121	4927.31818483528	178.100337277514	0.818062827225131	0	624.530306564047	0	0	2834.60226172207	0	7.88589115498733	1136.2028182682	0.736827368715784	0	779.997863019553	0	0	393.556215474023	0.800416216432545	3459.39843561003	4777.46976154027	0.757099702459817	0	1982.28137707601	12.6024440865	0	99.0637504370459	0	5.2864740275531	877.680020500555	0	1.53522575494726	495.122053343382	0	0	196.859200930607	0.752439786006125	1008.34153782904	307.959570435881	0	0	2856.28946919269	0.380572533319125	0	829.602686066033	0	25.170447705659	935.294713502684	0	0	1153.48837209302	0	0	885.415418055122	0	1.95595196181982	195.64002235886	0	1.45844879386285	404.540923475955	0	0	218.228351404774	0	0	330.213968903836	1.06626859305859	0	474.730127576055	0.415385893495057	8.999928000576	547.080401139817	0	0.933863767953531	521.710553341823	0.736192705802671	0.864745202825987	130.952492306541	0	0	176.07995707003	0	0	309.894127652919	3.85099227234217	0	1493.07881223488	0.774851422239786	0	1166.66368210877	0	0	1229.68015405967	0	0	884.855459078704	1.44537912294395	0	915.837303271858	2.22849502302778	1.74677065774649	520.754453207823	0.404022447487182	0	285.079904607878	0	4.13659020869098	554.500386299253	0	3.35532938150094	465.162203376814	0	1.96209237530903	435.726516634051	0	2.10260723296888	208.53373401768	0.803587213320262	1.21624908781318	301.620721735299	2.10106103582309	0	360.281019194972	0	1.08216909974353	92.28740936058	0.840343196161312	0	291.994484548626	0	4.31772714842907	2975.2097966105	0	0	420.172775045098	0	6.12895317479774	635.907723169509	0	0.807715296512285	511.337394708483	0.606306803368641	0	124.072641982443	0.701414753557926	0.993788819875776	234.697353976606	0	0	356.456361468649	1.04305740987984	0	85.3363675152894	0.82936619835122	3222.79308734236	964.78198703444	0	0.919193683301008	1331.22997923474	0	0.945984296660675	518.539484857062	0	3.57564272177924	781.725006514375
bin15	2.29152822017003	0.567424177944222	338.515546639919	0	0	454.688582404433	0	22.2791578478334	455.614813868574	0	0	948.703639462452	0	10.164667615369	759.43494133304	1.66162639992024	14506.4937938358	663.423756358738	1.63612565445026	0	220.270025136698	0	3.58343307222051	352.369742390155	2.41324388242676	5.9144183662405	189.030184178073	0	0	1879.2071802543	0	4.13568350441277	922.821470766676	0	1.34397763621213	955.769787744631	0	0	330.658561635257	19.2974925074532	0.79075137195363	740.064488559108	0	6.34376883306372	422.823951482019	0	9.21135452968359	788.217560607964	0	0	188.805869983446	0.752439786006125	9910.30953488624	622.499473573384	0	0	501.79211469534	0.380572533319125	1.11141983884412	439.283715724678	0	4.37746916620156	535.740413510562	0	0	114.728682170543	0.430327780670537	0	322.841000807102	1.70075258301799	1.95595196181982	22.7729126555286	0	1.45844879386285	503.256651214107	0	1.88926989165037	100.544999600105	1.64819316823932	2.15947740646763	90.1691280401619	1.06626859305859	0.761208799573723	1411.92345436703	0.415385893495057	7.1999424004608	637.604496292447	0	0.933863767953531	319.051335770721	0	0	771.684329663546	0	1.08136165059042	399.953045344781	1.48445038224597	0	283.499359682481	0	0	1021.43335565975	0	0	1200.68764213957	0.777786419849109	1.01294544275845	1017.74052995664	0	0.893958627594715	1190.84980995223	1.44537912294395	0.945608593690899	238.196311494741	8.17114841776854	10.4806239464789	243.484744341019	0	5.73667043647866	176.804363915463	0.382378470562593	0	435.391449909863	0.722042513863216	1.11844312716698	108.610986165813	0	509.162971392693	282.075587084149	0	1.05130361648444	530.11100735134	0.803587213320262	0	483.768300445577	0.420212207164618	0	1009.7876343548	0	0	245.550428477258	0.840343196161312	1244.10994233624	480.574255819612	0	1.43924238280969	1043.44307309882	0	0	1930.55384374055	2.1479354760183	0	639.919759277833	3.10231432648756	4156.50291585222	817.040181222371	0	0	1094.55864981772	2.80565901423171	0	300.311667991571	0	0	1462.32268425023	0	0	292.988195135827	0.82936619835122	3.39688335951764	56.9151963574274	0	0	1042.28707564026	0	0.945984296660675	196.99971695443	1.19288325847991	2.68173204133443	1747.78269975004
bin16	0	0	20.2530668929867	0	0	16.3738270671957	0	0	0	0	0	665.148338637426	0	0	72.03643334188	0	2.21253623028077	270.489887240223	0	0.718127697467164	16.4122763827343	0	0	56.6175484601517	115.835706356484	0	19.2062753977721	0	0	24.0410300245752	0	0	13.5709039818628	0	0	0	0	0	271.373819523885	5.90739566554689	1.58150274390726	59.2440076143117	0	0	9.60963526095498	0	0	6.28061801281246	0	0	0	2.25731935801837	3.24573456382737	10.5285323225942	0	0	80.2184673152415	0	0	30.0783435926133	0	0	13.5060608448041	0	0	83.7209302325581	0	0	0.799111388136392	0	0	4.14052957373248	0	0	17.4204225420268	0	0	0	0	0	0	0	0.761208799573723	50.2944062806673	0	0	6.29732835844393	0	0	19.1704665269962	0	0	0	0	0	15.0925677488597	0	0	74.296383916788	0	81.9539256830995	65.1187020912406	0	0	7.16293895385277	0	0	0	0	0	256.302960560728	0	2.8368257810727	0.786126440576702	140.39518645075	0	47.7649498468027	0	0	0	0	0	32.1916044295647	0	14.5397606531708	112.999308839179	0	0	19.8752446183953	0	0	50.5536324891345	0	0	234.049845762131	1.26063662149385	0	0	0	0	13.1839156229401	0	0	8.11095790412848	0	0	44.3198350531356	0	0	3.36138220036079	0	4.3778236962841	2.00601805416249	0	0	0	0	0	5.94868831422671	0	10659.3788819876	2.52362746211404	0	0	38.9303876006716	0	1.20627261761158	17.0672735030579	0	8.4922083987941	2.77635104182572	0	0	0	0	0	4.52872912538919	0	3.57564272177924	24.1273150158758
bin17	0	0	73.2968135174755	0	0	109.578688834309	0	0	17.032329490414	0	0	544.486508499117	0	0	286.9247768702	0	0	2060.39827687924	0	0	20.7312964834538	0	0	46.9329678024942	0	2.95720918312025	24.2605583971858	0	0	208.355593546319	0.447535422428685	0	333.684580259923	0	2823.69701368169	408.236446136234	0	0	1.6699927355316	12.6024440865001	0.79075137195363	626.432539528379	0	0	20.2870077731272	0.689717009111162	0	0	0	0	768.645698179052	0	1485.46451871166	35.5337965887555	0	0	0.853387950162144	0	0	5.59597090095131	0	56.9070991606203	6.75303042240205	0	0	263.565891472868	0	1545.79968610534	59.9333541102295	0	14.6696397136486	19.6675154752293	0	0	5.80680751400892	0	0	7.99789769546291	0	0	21.9330311449042	0	0	45.387634936212	0	0	19.6791511201373	0	39.2222782540483	35.6022949787071	3.68096352901335	0	188.010363954392	0	0	49.4700831768178	0	70.0724397519057	166.189279813868	0	0	43.7225571184044	0	0	149.526350661677	0	206.640870322724	149.541156092995	0	0	54.0502841998814	0	0	6.28901152461361	43.0842371118705	82.098220914085	60.5799363910668	0	0	553.712891642225	0.764756941125187	0	38.6299253154777	0	1.11844312716698	7.6795646783908	0	0	66.505626223092	0	0	108.830736608553	2.41076163996078	18.2437363171977	16.6478969788963	1.26063662149385	0	193.15065751286	0	0	355.965721819381	0	1.62204686093381	1186.22759347879	0	0	52.027632453681	0	0	2180.4165873007	0	78.8008265331138	100.300902708124	0	0	217.730761617806	0	0	83.281636399174	0	342.857142857143	78.2324513255353	0	0	754.276259763011	0	0	131.797278718058	0	0	145.758429695851	0	2.75758104990302	120.728232699645	0	0	54.3447495046703	0	0	1162.93658376521
bin18	0	11.3484835588844	80.0478358151376	3.3107101473266	33.856605988105	197.745449965363	2.60723899908095	21410.2706917679	384.291934127465	0	6538.74831293121	882.339632886382	0	5985.9727586908	661.75842154744	5.81569239972085	17132.7742991792	1078.62016763694	0	12.2081708569418	2473.93471369216	1.05071816586637	16.4837921322144	1367.7607759584	2.41324388242676	39955.8390095321	1590.07743161555	0	27.8932617849031	579.655946148093	1.34260626728606	43.0111084458929	1171.88747325734	4.80249729859527	11149.6384700159	7577.19944281242	0	8.94814549684578	906.806055393659	105.939295602141	19503.8825892363	2588.28328347772	18.1156436817576	32240.0905044353	243.444093277526	0	122.818060395781	1064.56475317171	0.743226420212786	50.5460781658995	109.167375061518	5.26707850204287	42452.0442718195	3588.91345546431	0	5.38627269929209	29.0151903055129	1.90286266659563	90.0250069463739	623.950755456072	10.3652900985566	11835.5822581175	69.7813143648212	0	0	342.118863049096	1.29098334201161	28971.2497040797	4996.04439862872	31.4639227858327	21383.4448225952	7757.2821563878	0	40054.1084502523	685.203286653053	0	13601.7985849368	8238.97718314042	5.76867608883761	46136.1550504777	7234.24477262758	0	48.7173631727183	45.387634936212	12.8769626983467	135.898912808698	218.044994411121	13.8276726298505	39064.4552772642	484.738939325474	3.68096352901335	13159.6924966059	2100.85212657494	6.40608150671038	90.8343786495956	8461.06117520794	0.742225191122987	48389.7542729985	2821.30742084013	17.9712972709301	46285.0555665628	665.141028503387	12.7850484669565	21726.8855612035	2313.62928209444	1.55557283969822	39144.2636899577	10517.3693666555	3.10692883967859	19.6670898070837	829.933396101406	8.67227473766369	32411.6801573492	1193.33993679543	6.68548506908334	37123.2434037573	2179.71271130165	2.82815713241028	2095.52375801085	1929.77166196102	0.382378470562593	17018.9662661069	6431.0777749163	10.8306377079482	34708.645565373	6022.97286919508	0.810034709987322	8213.3186830436	718.566536203522	1.91808988936458	29512.1951219512	1852.93105748369	2.41076163996078	21660.180004865	8135.92518239239	13.4467906292678	21635.499207607	1908.48862112447	1.17383291662265	13733.8080448451	1231.87211601846	5.04205917696787	19175.0269665291	1948.65763646687	3.54455954416965	44.6165138671004	1459.66413272827	4.55406587000875	46.1745397602939	590.482806530045	2.8639139680244	8254.8243617133	403.20962888666	15.5115716324378	13.7311600407088	603.70802084937	0.606306803368641	35563.779829967	1482.92301547509	6.31273278202134	19566.7080745341	803.775346683323	24.0009600384015	72.3565470480155	382.004428331589	4.17222963951936	79.6139927623643	2627.41193760963	4.97619719010732	15615.4728037026	1334.03667559726	1.37323024951594	11.9495178829131	56.3398419265007	6.55551428009527	41.6233090530697	7231.24823096518	2.98220814619977	28600.6722208317	15.4414816101605
