"type" "Taxa" "Group" "weighted.MF.diff"
"1" "L" "Ascomycota" "F" -0.00156872056424053
"2" "R" "Ascomycota" "F" -0.00304582636009189
"3" "S" "Ascomycota" "F" -0.0133232858728319
"4" "L" "Basidiomycota" "F" -0.00662266142733432
"5" "R" "Basidiomycota" "F" -0.191515896125307
"6" "S" "Basidiomycota" "F" -0.00994276502162088
"7" "L" "Dothideomycetes" "F" -1.14912336702567
"8" "R" "Dothideomycetes" "F" -0.0537472627407514
"9" "S" "Dothideomycetes" "F" -0.0180660592636277
"10" "L" "Eurotiomycetes" "F" -0.027582266078977
"11" "R" "Eurotiomycetes" "F" -0.0363632530063431
"12" "S" "Eurotiomycetes" "F" -0.0135123193370615
"13" "L" "Others" "F" -0.0146875469144769
"14" "R" "Others" "F" -0.00755212508227341
"15" "S" "Others" "F" -0.00423696914450092
"16" "L" "Sordariomycetes" "F" -0.0122837630635109
"17" "R" "Sordariomycetes" "F" -3.55511494012522
"18" "S" "Sordariomycetes" "F" -0.00370259461066033
"19" "L" "Ascomycota" "M" 2.95435597787037e-06
"20" "R" "Ascomycota" "M" 0.00874381300750784
"21" "S" "Ascomycota" "M" 0.477630333831153
"22" "L" "Basidiomycota" "M" 0.0213997726290943
"23" "R" "Basidiomycota" "M" 0.128035227562358
"24" "S" "Basidiomycota" "M" 0.0478158022580129
"25" "L" "Dothideomycetes" "M" 0.107726720288404
"26" "R" "Dothideomycetes" "M" 0.00633429897447268
"27" "S" "Dothideomycetes" "M" 0.0150067102376647
"28" "L" "Eurotiomycetes" "M" 0.000597798629958025
"29" "R" "Eurotiomycetes" "M" 0.0135967924394801
"30" "S" "Eurotiomycetes" "M" 0.0670426730327164
"31" "L" "Others" "M" 0.0616381025740774
"32" "R" "Others" "M" 0.068333128546808
"33" "S" "Others" "M" 0.00371699324715936
"34" "L" "Sordariomycetes" "M" 1.73961742962269
"35" "R" "Sordariomycetes" "M" 0.456056513245144
"36" "S" "Sordariomycetes" "M" 0.0406257269402758
